TIMESTAMP,TIME,RAW,CURRENT
13:48:06 17/05/24,1715964486.1025145,0.0511,4.774497886759195
13:48:17 17/05/24,1715964497.140277,0.0496,4.6231536644769955
13:48:28 17/05/24,1715964508.1783803,0.0489,4.552527160365801
13:48:39 17/05/24,1715964519.216034,0.0484,4.502079968969687
13:48:50 17/05/24,1715964530.2538397,0.0477,4.431454337171764
13:49:01 17/05/24,1715964541.2913191,0.0471,4.370918486347561
13:49:12 17/05/24,1715964552.3287444,0.0464,4.30029379955568
13:49:23 17/05/24,1715964563.3661602,0.0459,4.249847906244791
13:49:34 17/05/24,1715964574.4039335,0.0453,4.189313176966222
13:49:45 17/05/24,1715964585.4414802,0.0453,4.189313176966222
13:49:56 17/05/24,1715964596.4791858,0.045,4.159045952520142
13:50:07 17/05/24,1715964607.5166457,0.0444,4.098511784014391
13:50:18 17/05/24,1715964618.553313,0.044,4.058155879370859
13:50:29 17/05/24,1715964629.5898616,0.044,4.058155879370859
13:50:41 17/05/24,1715964641.2018826,0.0437,4.027889059927369
13:50:52 17/05/24,1715964652.239184,0.0429,3.9471779983373945
13:51:03 17/05/24,1715964663.2769966,0.0424,3.896733922345819
13:51:14 17/05/24,1715964674.312729,0.0426,3.916911521588404
13:51:25 17/05/24,1715964685.3498774,0.0424,3.896733922345819
13:51:36 17/05/24,1715964696.3867552,0.0418,3.8362013738504275
13:51:47 17/05/24,1715964707.4232032,0.0422,3.8765563646419623
13:51:58 17/05/24,1715964718.6593297,0.0417,3.8261126521142486
13:52:09 17/05/24,1715964729.696991,0.041,3.755491890732086
13:52:20 17/05/24,1715964740.733293,0.041,3.755491890732086
13:52:31 17/05/24,1715964751.7698205,0.0402,3.6747830722333785
13:52:42 17/05/24,1715964762.806235,0.0402,3.6747830722333785
13:52:53 17/05/24,1715964773.843391,0.0404,3.694960214549965
13:53:04 17/05/24,1715964784.8798316,0.0395,3.604163401242805
13:53:15 17/05/24,1715964795.9180906,0.0395,3.604163401242805
13:53:27 17/05/24,1715964807.5591586,0.0392,3.5738979837313565
13:53:38 17/05/24,1715964818.596566,0.0386,3.51336742909487
13:53:49 17/05/24,1715964829.6332812,0.0387,3.5234558289059126
13:54:00 17/05/24,1715964840.6698065,0.0387,3.5234558289059126
13:54:11 17/05/24,1715964851.706551,0.0383,3.4831022919698307
13:54:22 17/05/24,1715964862.74319,0.0378,3.432660604455067
13:54:33 17/05/24,1715964873.7817676,0.0381,3.46292558580988
13:54:44 17/05/24,1715964884.8178885,0.0377,3.42257229810616
13:54:55 17/05/24,1715964895.8543541,0.0374,3.3923074413675294
